reference	university	journalTitle	authors	url	singlePubMed	prTitle	sampleChange	sampleJournal	samplePR	adviceExaggeration	adviceJournal	advicePR	causationExaggeration	causationJournal	causationPR	variableGeneralization	variablesJournal	variablesPR	cure
01-11-023	Birmingham    	Comparison of range of commercial or primary care led weight reduction programmes with minimal intervention control for weight loss in obesity:  Lighten up randomised controlled trial	"Jolly K,Lewis A,Beach J,Denley J,Adab P,Deeks JJ,Daley A,Aveyard P"	http://www.ncbi.nlm.nih.gov/pubmed/22053315	0	Commercial weight loss services more effective than primary care	0	1	1	2	0	2	4	2	6	0	Weight management services/Effectiveness at reducing weight	Weight loss services/Effectiveness of weight loss	No
02-11-001	Bristol       	Timing of menarche and depressive symptoms in adolescent girls from a UK cohort	"Culpin I,Heron J,Araya R,Joinson C"	http://www.ncbi.nlm.nih.gov/pubmed/25411127	0	Early menstruation linked to increased risk of depression	0	1	1	0	1	1	4	2	6	0	"timing of menarche/low mood occurance, measured by The Short Mood and Feelings Questionnaire"	timing of first period/depressive symptoms	No
02-11-002	Bristol       	Are dietary patterns in childhood associated with IQ at 8 years of age? A population-based cohort study	"Northstone K,Joinson C,Emmett P,Ness A,Paus T"	http://www.ncbi.nlm.nih.gov/pubmed/21300993	1	Processed food diet in early childhood diet may lower subsequent IQ	0	1	1	0	1	1	2	2	4	0	Dietary Patterns/IQ	Dietary Patterns/IQ	No
02-11-003	Bristol       	Costs and cost effectiveness of different strategies for chlamydia screening and partner notification: an economic and mathematical modelling study	"Turner K,Adams E,Grant A,Macleod J,Bell G,Clarke J,Horner P"	http://www.ncbi.nlm.nih.gov/pubmed/21205807	1	New study evaluates different strategies for chlamydia screening	0	1	1	1	1	2	0	Not mentioned	Not mentioned	0	cost effectiveness and comparison of partner notification and screening/Diagnosis of Chlamydia	economical and mathematical modelling of different intervention strategies/Chlamydia Status Rates	No
02-11-004	Bristol       	Carotenoid and melanin pigment coloration affect perceived human health 	--no PubMed data found--	--no PubMed data found--	1	Eat your greens to improve your looks	0	1	1	2	1	3	0	6	6	0	Estimates of daily fruit and vegetable intake/Skin colour	Eating fruit and vegetables/Skin colour	No
02-11-005	Bristol       	Deregulation of microRNA-503 Contributes to Diabetes Mellitus'Induced Impairment of Endothelial Function and Reparative Angiogenesis After Limb Ischemia 	"Caporali A,Meloni M,Vollenkle C,Bonci D,Sala-Newby GB,Addis R,Spinetti G,Losa S,Masson R,Baker AH,Agami R,le Sage C,Condorelli G,Madeddu P,Martelli F,Emanueli C"	http://www.ncbi.nlm.nih.gov/pubmed/21220732	1	MicroRNAs could increase the risk of amputation in diabetics	0	1	1	0	0	0	-2	6	4	0	Mimick hyperglycemia/MicroRNA-503 regulation	Diabetes/MicroRNA	No
02-11-006	Bristol       	Better with a Buddy: Influence of Best Friends on Children's Physical Activity	"Jago R,Macdonald-Wallis K,Thompson JL,Page AS,Brockman R,Fox KR"	http://www.ncbi.nlm.nih.gov/pubmed/20581714	1	Best friends can make a child more physically active	0	1	1	0	1	1	4	2	6	0	gender/Mean minutes of moderate-to-vigorous intensity physical activity per day (MVPA)  and Mean accelerometer counts per minute (CPM)	gender/Physical activity data of the child	No
02-11-007	Bristol       	Incidence of obesity during childhood and adolescence in a large contemporary cohort 	"Hughes AR,Sherriff A,Lawlor DA,Ness AR,Reilly JJ"	http://www.ncbi.nlm.nih.gov/pubmed/21371500	1	Childhood obesity peaks between ages 7 and 11	0	1	1	0	1	1	0	2	2	0	Age (0-15 years)/Incidence of overweight and obesity	Age/Childhood obesity	No
02-11-008	Bristol       	Land inheritance establishes sibling competition for marriage and reproduction in rural Ethiopia	"Gibson MA,Gurmu E"	http://www.ncbi.nlm.nih.gov/pubmed/21262826	1	Inherited wealth leads to sibling rivalry	1	1	2	0	0	0	0	6	6	0	Land inheritance/Sibling competition	Wealth inheritance/Sibling relationships	No
02-11-009	Bristol       	Physical activity by stealth? The potential health benefits of a work place transport plan	"Brockman R,Fox KR"	http://www.ncbi.nlm.nih.gov/pubmed/21458011	1	Physical activity by stealth NOT health 	0	1	1	0	2	2	1	5	6	0	usual mode of transport to work/percentage of reccomended physical activity per week achieved through active commuting	transport to work/ physical activity among the workforce and improving health	No
02-11-011	Bristol       	What is the meaning and nature of active play for today's children in the UK?	"Brockman R,Fox KR,Jago R"	http://www.ncbi.nlm.nih.gov/pubmed/21385336	1	Today's children do engage in active play	0	1	1	0	1	1	0	6	6	1	"Measured children's perception of play, who they played with and what they did during active play/Measures of active play; what they did"	Promoting active play/Physical activity	No
02-11-012	Bristol       	Previous prenatal loss as a predictor of perinatal depression and anxiety	"Blackmore ER,Cote-Arsenault D,Tang W,Glover V,Evans J,Golding J,O'Connor TG"	http://www.ncbi.nlm.nih.gov/pubmed/21372060	1	Depression following miscarriage can continue after healthy birth	0	1	1	0	1	1	2	3	5	0	number of previous miscarriages and the number of previous stillbirths that they had experienced/depressive and anxiety symptoms (Edinburgh Postnatal Depression Scale and Crown'Crisp Experiential Index)	number of previous miscarriages and stillbirths/symptoms of depression and anxiety  before/after pregnancy of healthy baby	No
02-11-013	Bristol       	Associations of circulating and dietary vitamin D with prostate cancer risk: a systematic review and dose'response meta-analysis 	"Gilbert R,Martin RM,Beynon R,Harris R,Savovic J,Zuccolo L,Bekkering GE,Fraser WD,Sterne JA,Metcalfe C"	http://www.ncbi.nlm.nih.gov/pubmed/21203822	1	No link between Vitamin D levels and prostate cancer	2	1	1	1	0	1	0	1	1	0	Vitamin D/Incidence of prostate cancer	Vitamin D levels/risk of prostate cancer	No
02-11-014	Bristol       	Risk HLA-DQA1 and PLA2R1 Alleles in Idiopathic Membranous Nephropathy 	"Bullich G,Ballarin J,Oliver A,Ayasreh N,Silva I,Santin S,Diaz-Encarnacion MM,Torra R,Ars E"	http://www.ncbi.nlm.nih.gov/pubmed/24262501	0	New research could help in the treatment of kidney disease	1	1	-	0	0	0	2	2	4	1	idiopathic membranous nephropathy/risk alleles of HLA-DQA1 and PLA2R1	idiopathic membranous nephropathy/genetic analysis/genes	No
02-11-015	Bristol       	Wnt4/'-Catenin Signaling Induces VSMC Proliferation and Is Associated With Intimal Thickening	"Tsaousi A,Williams H,Lyon CA,Taylor V,Swain A,Johnson JL,George SJ"	http://www.ncbi.nlm.nih.gov/pubmed/21193738	1	New research could help in the treatment of cardiovascular disease	2	4	8	-1	1	0	0	6	6	0	Wnt/'-catenin signaling/VSMC proliferation	Wnt/beta-catenin signalling/growth of VSMC	No
02-11-017	Bristol       	Psychological distress and risk of long-term disability: population-based longitudinal study	"Rai D,Kosidou K,Lundberg M,Araya R,Lewis G,Magnusson C"	http://www.ncbi.nlm.nih.gov/pubmed/21422028	1	Even mild stress is linked to long-term disability	0	1	1	0	0	0	3	2	5	0	Psychological distress measured by the 12-item General Health Questionnaire/diability pension	levels of stress/long-term disability	No
02-11-018	Bristol       	"Habitual Levels of Vigorous, But Not Moderate or Light, Physical Activity Is Positively Related to Cortical Bone Mass in Adolescents"	"Sayers A,Mattocks C,Deere K,Ness A,Riddoch C,Tobias JH"	http://www.ncbi.nlm.nih.gov/pubmed/21325463	0	A jog a day keeps osteoporosis away	0	1	1	1	0	1	4	2	6	0	"Different intensity levels of PA (measured by actigraph)/Cortical bone mineral content, cortical bone mineral density, and cortical bone area  of the mid (50%) right tibia"	Physical activity/Bone thickness	No
02-11-019	Bristol       	"A'1'42 inhibition of LTP is mediated by a signaling pathway involving caspase-3, Akt1 and GSK-3'"	"Jo J,Whitcomb DJ,Olsen KM,Kerrigan TL,Lo SC,Bru-Mercier G,Dickinson B,Scullion S,Sheng M,Collingridge G,Cho K"	http://www.ncbi.nlm.nih.gov/pubmed/21441921	1	Bristol scientists uncover how culprit Alzheimer's protein wreaks havoc	2	6	6	0	0	0	2	4	6	0	"Mechanisms underlying amyloid-dependent inhibition of LTP (signalling involving caspase-3, Akt1 and glycogen synthase kinase-3beta)/Hippocampal neuron LTP"	Proteins linked to a chain of events which leads to nerve cell impairment/Nerve cell functioning	No
02-11-020	Bristol       	Plain packaging increases visual attention to health warnings on cigarette packs in non-smokers and weekly smokers but not daily smokers 	"Munafo MR,Roberts N,Bauld L,Leonards U"	http://www.ncbi.nlm.nih.gov/pubmed/21401767	1	Plain cigarette packets could help stop people taking up smoking	0	1	1	0	1	1	-2	6	4	0	package type/location of eye gaze	cigarette packaging/visual attention towards health warning	No
02-11-021	Bristol       	Study of novel selective mGlu2 agonist in the temporo-ammonic input to CA1 neurons reveals reduced mGlu2 receptor expression in a Wistar substrain with an anxiety-like phenotype	"Ceolin L,Kantamneni S,Barker GR,Hanna L,Murray L,Warburton EC,Robinson ES,Monn JA,Fitzjohn SM,Collingridge GL,Bortolotto ZA,Lodge D"	http://www.ncbi.nlm.nih.gov/pubmed/21543601	1	Bristol scientists pave the way to tackling anxiety disorders	1	8	4	0	0	0	0	Not mentioned	Not mentioned	0	A rat strain with low expression of mGlu2 receptors/Anxiety-like phenotype	Rats lacking the mGlu2 receptor/Anxiety-like behaviours	No
02-11-022	Bristol       	"Associations of gestational weight gain with maternal body mass index, waist circumference, and blood pressure measured 16 y after pregnancy: the Avon Longitudinal Study of Parents and Children (ALSPAC)"	"Fraser A,Tilling K,Macdonald-Wallis C,Hughes R,Sattar N,Nelson SM,Lawlor DA"	http://www.ncbi.nlm.nih.gov/pubmed/21471282	1	High pregnancy weight gain can lead to long-term obesity	0	1	1	0	1	1	3	2	5	0	gestational weight gain/BMI	weight gain during pregnancy/mean BMI	No
02-11-023	Bristol       	Taste perception and implicit attitude toward sweet related to body mass index and soft drink supplementation	"Sartor F,Donaldson LF,Markland DA,Loveday H,Jackson MJ,Kubis HP"	http://www.ncbi.nlm.nih.gov/pubmed/21600942	1	Over consumption of sugary drinks dulls taste buds	0	1	1	3	0	3	-2	2	Not mentioned	0	Weight/Taste perception	Weight/Sensitivity to sweetness (Taste perception)	No
02-11-024	Bristol       	Diet or diet plus physical activity versus usual care in patients with newly diagnosed type 2 diabetes: the Early ACTID randomised controlled trial	"Lima PA,Sampaio LP,Damasceno NR"	http://www.ncbi.nlm.nih.gov/pubmed/25518023	0	Dietary advice improves blood sugar control for recently diagnosed type 2 diabetes patients	0	1	1	1	1	2	0	6	6	0	Intensive dietary intervention/glycaemic control	dietry advice/usual care/blood sugar control	No
02-11-025	Bristol       	"Swearing, Euphemisms, and Linguistic Relativity"	"Bowers JS,Pleydell-Pearce CW"	http://www.ncbi.nlm.nih.gov/pubmed/21799832	1	Swear words shed light on how language shapes thought	0	1	1	0	0	0	-6	6	Not mentioned	0	"swear words, euphemisms, and neutral words/skin conductance"	types of words/autonomic responses	No
02-11-026	Bristol       	Barriers engaging families and GPs in childhood weight management strategies	"Banks J,Shield JP,Sharp D"	http://www.ncbi.nlm.nih.gov/pubmed/21801549	1	New research identifies GP and parental reluctance to address childhood obesity	0	1	1	0	0	0	0	3	3	1	Letters sent from GP to parents of children with an obese BMI/Whether families engaged in weight-related disuccion with their GPS	Letter (opportunity to discuss child's weight with GP)/Whether parents consulted their GP folowing the receipt of the letter	No
02-11-027	Bristol       	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility	"Evans DM,Spencer CC,Pointon JJ,Su Z,Harvey D,Kochan G,Oppermann U,Dilthey A,Pirinen M,Stone MA,Appleton L,Moutsianas L,Leslie S,Wordsworth T,Kenna TJ,Karaderi T,Thomas GP,Ward MM,Weisman MH,Farrar C,Bradbury LA,Danoy P,Inman RD,Maksymowych W,Gladman D,Rahman P,Morgan A,Marzo-Ortega H,Bowness P,Gaffney K,Gaston JS,Smith M,Bruges-Armas J,Couto AR,Sorrentino R,Paladini F,Ferreira MA,Xu H,Liu Y,Jiang L,Lopez-Larrea C,Diaz-Pena R,Lopez-Vazquez A,Zayats T,Band G,Bellenguez C,Blackburn H,Blackwell JM,Bramon E,Bumpstead SJ,Casas JP,Corvin A,Craddock N,Deloukas P,Dronov S,Duncanson A,Edkins S,Freeman C,Gillman M,Gray E,Gwilliam R,Hammond N,Hunt SE,Jankowski J,Jayakumar A,Langford C,Liddle J,Markus HS,Mathew CG,McCann OT,McCarthy MI,Palmer CN,Peltonen L,Plomin R,Potter SC,Rautanen A,Ravindrarajah R,Ricketts M,Samani N,Sawcer SJ,Strange A,Trembath RC,Viswanathan AC,Waller M,Weston P,Whittaker P,Widaa S,Wood NW,McVean G,Reveille JD,Wordsworth BP,Brown MA,Donnelly P"	http://www.ncbi.nlm.nih.gov/pubmed/21743469	1	Genetic study sheds new light on auto-immune arthritis	0	1	1	1	0	1	1	2	3	0	gene associations at seven new loci/ankylosing spondylitis	genetic make-up/Ankylosing Spondylitis	No
02-11-028	Bristol       	Established preeclampsia risk factors are related to patterns of blood pressure change in normal term pregnancy: findings from the Avon Longitudinal Study of Parents and Children	"Macdonald-Wallis C,Tilling K,Fraser A,Nelson SM,Lawlor DA"	http://www.ncbi.nlm.nih.gov/pubmed/21841545	1	Better monitoring of blood pressure in pregnancy could reduce health risks for mother and baby	0	1	1	-1	2	1	2	2	4	0	maternal characteristics/BP and BP change	pre-cclampsia/BP and change in blood pressure over pregnancy	No
02-11-029	Bristol       	Contribution of inappropriate complementary foods to the salt intake of 8-month-old infants	"Cribb VL,Warren JM,Emmett PM"	http://www.ncbi.nlm.nih.gov/pubmed/21772314	1	Seventy per cent of eight-month-olds consume too much salt	0	1	1	1	2	3	4	2	6	0	Complementary Feeding Practices/Sodium Intakes	Sources of Salt/Salt Consumption	No
02-11-030	Bristol       	I'm on it 24/7 at the moment: A qualitative examination of multi-screen viewing behaviours among UK 10-11 year olds	"Jago R,Sebire SJ,Gorely T,Cillero IH,Biddle SJ"	http://www.ncbi.nlm.nih.gov/pubmed/21812945	1	TV time: why children watch multi-screens	0	1	1	1	0	1	0	Not mentioned	Not mentioned	-9	/multi-screen viewing behaviours	/multi-screen viewing	No
02-11-031	Bristol       	When Is the Hippocampus Involved in Recognition Memory?	"Morris MJ,Beilharz J,Maniam J,Reichelt A,Westbrook RF"	http://www.ncbi.nlm.nih.gov/pubmed/25496905	0	Have we met before? Scientists show why the brain has the answer	2	4	1	0	0	0	0	6	6	0	"novel object preference, object location, object in place, and temporal order tasks/performance on novel object preference, object location, object in place, and temporal order tasks"	different conditions under which stimuli can be remembered/recognition memory	No
02-11-032	Bristol       	Intrapleural Use of Tissue Plasminogen Activator and DNase in Pleural Infection	"Lansley SM,Cheah HM,Varano Della Vergiliana JF,Chakera A,Lee YG"	http://www.ncbi.nlm.nih.gov/pubmed/25474480	0	New two-drug approach to treat type of respiratory disease	0	1	1	0	0	0	0	6	6	0	Combined treatment with t-PA and DNase/Drainage of infected fluid	Combination of two drugs (tissue plasminogen activator and Dnase)/Reduction in fluid volume in the chest	No
02-11-033	Bristol       	Oxygen/Glucose Deprivation Induces a Reduction in Synaptic AMPA Receptors on Hippocampal CA3 Neurons Mediated by mGluR1 and Adenosine A3 Receptors 	"Dennis SH,Jaafari N,Cimarosti H,Hanley JG,Henley JM,Mellor JR"	http://www.ncbi.nlm.nih.gov/pubmed/21849555	1	New research reveals brain's natural protection mechanism during stroke	2	6	-	0	0	0	-6	6	Not mentioned	1	OGD or in vivo ischemia/AMPA receptor-mediated responses	stroke/removal of glutamate receptors (protection mechanism)	No
02-11-034	Bristol       	Transplantation of Human Pericyte Progenitor Cells Improves the Repair of Infarcted Heart Through Activation of an Angiogenic Program Involving Micro-RNA-132 	"Katare R,Riu F,Mitchell K,Gubernator M,Campagnolo P,Cui Y,Fortunato O,Avolio E,Cesselli D,Beltrami AP,Angelini G,Emanueli C,Madeddu P"	http://www.ncbi.nlm.nih.gov/pubmed/21868695	1	Mural cells from saphenous vein could have long-term benefits in heart attacks	2	4	1	0	0	0	-1	6	5	0	Saphenous vein-derived pericyte progenitors/Reparative vascularization (and cardiac healing)	Pericytes (human mural stem cells)/Growth of blood vessels in the heart	No
02-11-035	Bristol       	Correlation of in situ mechanosensitive responses of the Moraxella catarrhalis adhesin UspA1 with fibronectin and receptor CEACAM1 binding 	"Agnew C,Borodina E,Zaccai NR,Conners R,Burton NM,Vicary JA,Cole DK,Antognozzi M,Virji M,Brady RL"	http://www.ncbi.nlm.nih.gov/pubmed/21876142	1	Scientists develop new technologies for understanding bacterial infections	0	6	6	0	0	0	0	2	2	0	The physical properties of the UspA1 layer on the Mx surface/In situ effects with molecular details of the modular adhesin structure and its complexes with these proteins.	New approach to study UspA1 directly at Moraxella cell surface/Consequences of a bacterium approaching another cell	No
