Reference	JournalTitle	PRTitle	Sample_journal	Sample_PR
14-11-028	Polymeric human Fc-fusion proteins with modified effector functions	Better and more affordable treatments for sufferers of autoimmune diseases 	6: IgG Fc-fusion	1: People
15-11-006	Delivery of siRNA to the mouse brain by systemic injection of targeted exosomes	New method delivers Alzheimers drug to the brain	4: inbred C57BL/6 mice 	2: Implicitly humans (Alzheimer's)
16-11-001	Nox2 NADPH Oxidase Promotes Pathologic Cardiac Remodeling Associated with Doxorubicin Chemotherapy	Cancer breakthrough to prevent heart failure and increase survival rates	6: Nox2/ mice	1: Cancer patients
16-11-003	FKBPL and Peptide Derivatives: Novel Biological Agents That Inhibit Angiogenesis by a CD44-Dependent Mechanism	Scientists discover a way to kill off tumours in cancer treatment breakthrough	6: immortalized human microvascular endothelial cell line (HMEC-1)	8: cencer tumours
16-11-006	A phase I study of combined docetaxel and repeated high activity 186Re-HEDP in castration-resistant prostate cancer (CRPC) metastatic to bone (the TAXIUM trial)	Queens pioneers prostate cancer breakthrough 	1: Men with histologically confirmed prostate adenocarcinoma metastatic to bone	-9: 
17-11-004	Use of Macrophages to Target Therapeutic Adenovirus to Human Prostate Tumors	New treatment can destroy prostate cancer from within	4: Mice	1: Patients (with prostate tumours)
17-11-008	Dietary Phosphate Modulates Atherogenesis and Insulin Resistance in Apolipoprotein E Knockout MiceBrief Report	Experts prove link between phosphate intake and heart disease	4: mice	1: humans
18-11-008	Fc gamma receptor Iib on target B cells promotes rituximab internalization and reduces clinical efficacy	Southampton researchers' blood cancer breakthrough	6: Blood cells from healthy and patient samples	1: Patients
20-11-007	 Glycation of LDL by Methylglyoxal Increases Arterial Atherogenicity A Possible Contributor to Increased Risk of Cardiovascular Disease in Diabetes 	Super-sticky ultra-bad cholesterol revealed in people at high risk of heart disease 	8: Cell culture and mice	1: People with type-2 diabetes and the elderly
20-11-015	We both need to work: maternal employment, childcare and health care in Britain and the USA	Lack of part-time jobs in senior or well paid roles force new mothers to abandon successful careers	1: fathers	1: mothers
20-11-016	Spindle Checkpoint Silencing Requires Association of PP1 to Both Spc7 and Kinesin-8 Motors	Warwick scientists discover how daughter cells receive the same number of chromosomes 	6: yeast	6: yeast cells
10-11-018	An environment-dependent structural switch underlies the regulation of carnitine palmitoyltransferase 1A	Body's fat switch discovered	7: Multidimensional, heteronuclear NMR spectroscopy in combination with molecular modeling	-9: 
